index,label,value
39,SW1kVAPoleC,386
40,SW2kWPoleA,204
41,SW2kWPoleB,523
42,SW2kWPoleC,496
43,SW2kVAPoleA,213
44,SW2kVAPoleB,540
45,SW2kVAPoleC,499
2,NeutralCurrentSwitch1,0
3,CurrentPoleASwitch1,0
4,CurrentPoleBSwitch1,0
5,CurrentPoleCSwitch1,0
14,VoltagePoleASwitch1,0
15,VoltagePoleBSwitch1,0
16,VoltagePoleCSwitch1,0
6,NeutralCurrentSwitch2,0
7,CurrentPoleASwitch2,0
8,CurrentPoleBSwitch2,0
9,CurrentPoleCSwitch2,0
17,VoltagePoleASwitch2,0
18,VoltagePoleBSwitch2,0
19,VoltagePoleCSwitch2,0
20,PhaseAnglePoleASwitch1,673
21,PhaseAnglePoleBSwitch1,673
22,PhaseAnglePoleCSwitch1,673
23,PhaseAnglePoleASwitch2,673
24,PhaseAnglePoleBSwitch2,673
25,PhaseAnglePoleCSwitch2,615
26,KVARsPoleASwitch1,0
27,KVARsPoleBSwitch1,0
28,KVARsPoleCSwitch1,0
29,KVARsPoleASwitch2,0
30,KVARsPoleBSwitch2,0
31,KVARsPoleCSwitch2,0
46,kVARTotalSwitch1,80
47,kVARTotalSwitch2,242
48,KWTotalSwitch1,967
49,KWTotalSwitch2,1223
50,KVATotalSwitch1,989
51,KVATotalSwitch2,1252
35,SW1kWPoleB,0
36,SW1kWPoleC,0
38,SW1kVAPoleB,0
39,SW1kVAPoleC,0
40,SW2kWPoleA,0
41,SW2kWPoleB,0
42,SW2kWPoleC,0
43,SW2kVAPoleA,0
44,SW2kVAPoleB,0
45,SW2kVAPoleC,0
52,ThreePhaseCurrentAvgSW1,109
53,ThreePhaseCurrentAvgSW2,109
20,PhaseAnglePoleASwitch1,0
21,PhaseAnglePoleBSwitch1,0
22,PhaseAnglePoleCSwitch1,0
23,PhaseAnglePoleASwitch2,0
24,PhaseAnglePoleBSwitch2,0
25,PhaseAnglePoleCSwitch2,0
47,kVARTotalSwitch2,0
48,KWTotalSwitch1,0
49,KWTotalSwitch2,0
50,KVATotalSwitch1,0
51,KVATotalSwitch2,0
52,ThreePhaseCurrentAvgSW1,0
53,ThreePhaseCurrentAvgSW2,0
